id,created_at,user_id,feedback,useractivity_id,date,resolved,file
482,1728682112968,f5969a27-76ee-47df-95f4-b9d8582d0b20,"Nick please include your  leadership rolee in this description",580,2024-10-11,2024-03-21,
522,1729484812685,f5969a27-76ee-47df-95f4-b9d8582d0b20,"Nick please include your  leadership rolee in this description",580,2024-10-20,2024-03-21,
560,1730823381774,47b644f2-0ed8-4cf3-8445-c7f2d9175359,"Accepted activity deleted.",366,2024-11-05,2024-03-21,
660,1733444872108,b75688c0-705d-4495-bc5c-34b5e28efb9b,"Toven approved!",788,2024-12-05,2024-03-21,
708,1733862767420,b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,"Can not provide you with anymore hours for practice. I can only give you credit for your Saturday classes.",857,2024-12-10,2024-03-21,
709,1733862785529,b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,"Can not provide you with anymore hours for practice. I can only give you credit for your Saturday classes.",854,2024-12-10,2024-03-21,
710,1733862828943,b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,"You can only get hours for attending church school and not mass.",852,2024-12-10,2024-03-21,
712,1733862932979,b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,"Can not get credit for attending mass, only for attending church school.",850,2024-12-10,2024-03-21,
741,1733863548740,f623348f-0bc0-40c0-b069-437abb85ac3b,"What was this for? Not sure I can assign points without more details",821,2024-12-10,2024-03-21,
781,1733864436694,79f7938a-f5d9-40ac-b2cd-12066453bbd8,"I can't give you hours for household chores. To earn points in this section you will need to participate in clubs or volunteer.",891,2024-12-10,2024-03-21,
796,1734026359827,f623348f-0bc0-40c0-b069-437abb85ac3b,"Accepted activity deleted.",828,2024-12-12,2024-03-21,
816,1734028955724,f623348f-0bc0-40c0-b069-437abb85ac3b,"Add that you helped to make this",821,2024-12-12,2024-03-21,
822,1734033125589,f623348f-0bc0-40c0-b069-437abb85ac3b,"Add that you helped to make this",821,2024-12-12,2024-03-21,
824,1734053716945,fd70cb80-1277-4f82-8c2f-1b358682da88,"Dance was only for one hour. Please change.",942,2024-12-12,2024-03-21,
852,1734480685343,b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,"This was a awards ceremony not a community service event",970,2024-12-17,2024-03-21,
855,1734480975057,b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,"Accepted activity deleted.",969,2024-12-17,2024-03-21,
856,1734481043988,b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,"Accepted activity deleted.",932,2024-12-17,2024-03-21,
857,1734484082417,b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,"This was a awards ceremony not a community service event",970,2024-12-17,2024-03-21,
858,1734537079273,20f476ca-0c70-46b6-982e-179fbc382c69,"Great job putting all of these in! 

However you forgot to set the program period to year 1!

I am sending these back for you to change!",978,2024-12-18,2024-03-21,
859,1734547273124,20f476ca-0c70-46b6-982e-179fbc382c69,"Have to change the program period to 1",977,2024-12-18,2024-03-21,
901,1735850552570,20f476ca-0c70-46b6-982e-179fbc382c69,"Accepted activity deleted.",977,2025-01-02,2024-03-21,
936,1736459380368,20f476ca-0c70-46b6-982e-179fbc382c69,"Change activity name to ""wrestling practice"" or ""Football practice"" or whatever the activity was instead of your name.",972,2025-01-09,2024-03-21,
950,1736464365048,47b644f2-0ed8-4cf3-8445-c7f2d9175359,update,1073,2025-01-09,2024-03-21,
951,1736464380663,47b644f2-0ed8-4cf3-8445-c7f2d9175359,"Great job!:)",1072,2025-01-09,2024-03-21,
954,1736464680636,47b644f2-0ed8-4cf3-8445-c7f2d9175359,update,1073,2025-01-09,2024-03-21,
