id,created_at,student_id,group_id,administer_logical,administer_linguistic,administer_spatial,administer_kinesthetic,administer_musical,administer_naturalistic,administer_interpersonal,administer_intrapersonal,administer_existential,difficulty_logical,difficulty_linguistic,difficulty_spatial,difficulty_kinesthetic,difficulty_musical,difficulty_naturalistic,difficulty_interpersonal,difficulty_intrapersonal,difficulty_existential,SSA_ids,upcoming_challenges,change_request_pending
10,1722569276441,ae3041f9-e714-4e30-97cd-ab0768cd6ce1,ae01f73c-c9d8-4b71-aa97-8514151cfbf0,1,1,,1,1,1,1,1,1,beginner,intermediate,beginner,beginner,beginner,beginner,beginner,beginner,beginner,[],"[""logical_beginner"",""naturalistic_beginner"",""interpersonal_beginner"",""intrapersonal_beginner"",""kinesthetic_beginner"",""linguistic_intermediate""]",
15,1722622204172,9a01348c-6a2f-4fae-a4be-1698f37b3522,ae01f73c-c9d8-4b71-aa97-8514151cfbf0,1,1,,1,1,1,1,1,1,beginner,beginner,beginner,beginner,intermediate,intermediate,intermediate,intermediate,advanced,[],"[""linguistic_beginner"",""logical_beginner"",""kinesthetic_beginner"",""interpersonal_intermediate"",""intrapersonal_intermediate"",""musical_intermediate""]",
17,1723222979015,33161d96-2918-4dcd-8809-97d8211f9138,ae01f73c-c9d8-4b71-aa97-8514151cfbf0,1,1,,1,1,1,1,1,1,intermediate,intermediate,intermediate,advanced,intermediate,intermediate,advanced,advanced,beginner,[],"[""linguistic_intermediate"",""logical_intermediate"",""existential_beginner"",""naturalistic_intermediate"",""musical_intermediate"",""intrapersonal_advanced""]",
18,1723231697796,82057d23-44d4-4474-b15e-86fafb3d4b99,ae01f73c-c9d8-4b71-aa97-8514151cfbf0,1,1,,1,1,1,1,1,1,advanced,advanced,advanced,beginner,intermediate,intermediate,beginner,beginner,intermediate,[],"[""kinesthetic_beginner"",""interpersonal_beginner"",""intrapersonal_beginner"",""linguistic_advanced"",""musical_intermediate"",""naturalistic_intermediate""]",
31,1728512819513,6486de68-8a4c-4d1e-b02a-a6b249d421ec,ae01f73c-c9d8-4b71-aa97-8514151cfbf0,1,1,,1,1,1,1,1,1,beginner,intermediate,intermediate,intermediate,advanced,advanced,advanced,advanced,advanced,"[""janvi""]","[""logical_beginner"",""linguistic_intermediate"",""kinesthetic_intermediate"",""interpersonal_advanced"",""intrapersonal_advanced"",""musical_advanced""]",
46,1730325990218,08ec3aea-31ec-45e8-8f18-8f0dc4e0259d,ae01f73c-c9d8-4b71-aa97-8514151cfbf0,1,1,,1,1,1,1,1,1,beginner,beginner,beginner,intermediate,intermediate,intermediate,advanced,advanced,advanced,[],"[""linguistic_beginner"",""logical_beginner"",""naturalistic_intermediate"",""musical_intermediate"",""kinesthetic_intermediate"",""intrapersonal_advanced""]",
47,1732894788344,486b8ada-0524-4446-bed2-622e184f95cb,d6a1d204-2c8d-4ccb-9ca0-4e67e2e768b5,1,1,1,1,1,1,1,1,1,beginner,beginner,intermediate,advanced,advanced,beginner,beginner,intermediate,advanced,[],"[""logical_beginner"",""linguistic_beginner"",""interpersonal_beginner"",""naturalistic_beginner"",""spatial_intermediate"",""intrapersonal_intermediate"",""musical_advanced"",""kinesthetic_advanced"",""existential_advanced"",""logical_beginner"",""linguistic_beginner"",""interpersonal_beginner""]",
49,1732896204261,b3d40e2b-7182-471b-b185-8b9b839f87f9,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,1,1,1,1,1,,,1,1,intermediate,intermediate,advanced,beginner,intermediate,beginner,beginner,intermediate,intermediate,"[""""]","[""kinesthetic_beginner"",""linguistic_intermediate"",""logical_intermediate"",""musical_intermediate"",""intrapersonal_intermediate"",""existential_intermediate"",""spatial_advanced"",""kinesthetic_beginner"",""linguistic_intermediate"",""logical_intermediate""]",
51,1732896881993,606909a7-3f71-489c-98c0-d4d326f55b4c,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,,1,1,1,1,1,1,1,1,advanced,beginner,advanced,intermediate,advanced,beginner,intermediate,intermediate,intermediate,"[""""]","[""linguistic_beginner"",""naturalistic_beginner"",""intrapersonal_intermediate"",""kinesthetic_intermediate"",""interpersonal_intermediate"",""musical_advanced"",""existential_intermediate"",""spatial_advanced"",""linguistic_beginner"",""naturalistic_beginner""]",
53,1732897501092,a28611a4-0f7b-41d8-90e5-ccab5690a8dc,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,1,,1,1,1,1,1,1,1,advanced,intermediate,advanced,intermediate,intermediate,beginner,beginner,advanced,beginner,"[""""]","[""interpersonal_beginner"",""naturalistic_beginner"",""logical_advanced"",""existential_beginner"",""musical_intermediate"",""kinesthetic_intermediate"",""spatial_advanced"",""intrapersonal_advanced"",""interpersonal_beginner"",""naturalistic_beginner""]",1
