id,created_at,organization_id,organizationpillar_id,status,period,points,grade,activityDate,hoursSpent,submissionReleaseDate,completedDate,description,title,user_id,document_id,relatedFiles,verificationFiles,academicprogram_id,approvedPoints,feedback_id,datePerformed,activitySubmitted,activityApproved
342,1724295756050,b7d0dc33-c7dc-4f68-b21b-e6613463f000,479e824b-31a0-49c0-b770-2b218c03e7e1,Accepted,1,0.17,0,"[""2023-08-21"",""2024-05-21""]",3,,2024-05-21,"Haunted House/Family Fun Night","Haunted House/Family Fun Night",8e6526ef-8fa3-46c9-9d72-47b949439e89,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/NGSquPHBGdtd6wPB7evrLQ7mYcA\/RPaFEw..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""pages"":[{""res"":""792x612""}]},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/NGSquPHBGdtd6wPB7evrLQ7mYcA\/RPaFEw..\/1785878.pdf""}]",,126,0.17,[[]],2023-08-21,,
343,1724295811456,b7d0dc33-c7dc-4f68-b21b-e6613463f000,479e824b-31a0-49c0-b770-2b218c03e7e1,Accepted,1,0.23,0,"[""2023-08-21"",""2024-05-21""]",4,,2024-05-21,"Winter Break Cleaning Days/Teen Center Preparation","Winter Break Cleaning Days/Teen Center Preparation",8e6526ef-8fa3-46c9-9d72-47b949439e89,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/QlI_rCjrsC5EYGBhf6dC5vsOJAs\/qbHZIg..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""pages"":[{""res"":""792x612""}]},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/QlI_rCjrsC5EYGBhf6dC5vsOJAs\/qbHZIg..\/1785878.pdf""}]",,126,0.23,[[]],2023-08-21,,
344,1724295846944,b7d0dc33-c7dc-4f68-b21b-e6613463f000,479e824b-31a0-49c0-b770-2b218c03e7e1,Accepted,1,0.46,0,"[""2023-08-21"",""2024-05-21""]",8,,2024-05-21,"Keystone Retreat","Keystone Retreat",8e6526ef-8fa3-46c9-9d72-47b949439e89,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/lVDQp47-ZbObjVRk30dohm87HLM\/La32yg..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""pages"":[{""res"":""792x612""}]},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/lVDQp47-ZbObjVRk30dohm87HLM\/La32yg..\/1785878.pdf""}]",,126,0.46,[[]],2023-08-21,,
345,1724295897564,b7d0dc33-c7dc-4f68-b21b-e6613463f000,479e824b-31a0-49c0-b770-2b218c03e7e1,Accepted,1,0.46,0,"[""2023-08-21"",""2024-05-21""]",8,,2024-05-21,"Feed My Starving Children Volunteering (FMSC)","Feed My Starving Children Volunteering (FMSC)",8e6526ef-8fa3-46c9-9d72-47b949439e89,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/S_-TUsmbqpN4Ag0lYgq8yDzdrdE\/O4rwvg..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""pages"":[{""res"":""792x612""}]},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/S_-TUsmbqpN4Ag0lYgq8yDzdrdE\/O4rwvg..\/1785878.pdf""}]",,126,0.46,[[]],2023-08-21,,
346,1724295938998,b7d0dc33-c7dc-4f68-b21b-e6613463f000,479e824b-31a0-49c0-b770-2b218c03e7e1,Accepted,1,0.23,0,"[""2023-08-21"",""2024-05-21""]",4,,2024-05-21,"Maker Faire","Maker Faire",8e6526ef-8fa3-46c9-9d72-47b949439e89,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/8AnAoYTo7IYia-D-7DT1gMLmTV4\/jJV5yA..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""pages"":[{""res"":""792x612""}]},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/8AnAoYTo7IYia-D-7DT1gMLmTV4\/jJV5yA..\/1785878.pdf""}]",,126,0.23,[[]],2023-08-21,,
347,1724295989657,b7d0dc33-c7dc-4f68-b21b-e6613463f000,479e824b-31a0-49c0-b770-2b218c03e7e1,Accepted,1,0.23,0,"[""2023-08-21"",""2024-05-21""]",4,,2024-05-21,Mentoring,Mentoring,8e6526ef-8fa3-46c9-9d72-47b949439e89,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/n_SF1MjrME9Zs25xKDUpMTo1EVE\/DT4CZw..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""pages"":[{""res"":""792x612""}]},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/n_SF1MjrME9Zs25xKDUpMTo1EVE\/DT4CZw..\/1785878.pdf""}]",,126,0.23,[[]],2023-08-21,,
348,1724296034741,b7d0dc33-c7dc-4f68-b21b-e6613463f000,479e824b-31a0-49c0-b770-2b218c03e7e1,Accepted,1,3.2,0,"[""2023-08-21"",""2024-05-31""]",55.5,,2024-05-31,"LIT (mentoring)","LIT (mentoring)",8e6526ef-8fa3-46c9-9d72-47b949439e89,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/OFGqmTJUMydGpa9xFQBm02lAipw\/Q_wTWw..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""pages"":[{""res"":""792x612""}]},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/OFGqmTJUMydGpa9xFQBm02lAipw\/Q_wTWw..\/1785878.pdf""}]",,126,3.2,[[]],2023-08-21,,
349,1724296716688,b7d0dc33-c7dc-4f68-b21b-e6613463f000,479e824b-31a0-49c0-b770-2b218c03e7e1,Accepted,1,0.35,0,"[""2023-11-18"",""2023-11-20""]",0,,2023-11-20,"Thanksgiving Dinner","Thanksgiving Dinner",023fcb82-deee-43c2-ad0e-6ad91a15d36c,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/QvoMPUItYYqWpoKVRcHip43f4bc\/Vz_bxg..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""pages"":[{""res"":""792x612""}]},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/QvoMPUItYYqWpoKVRcHip43f4bc\/Vz_bxg..\/1785878.pdf""}]",,124,0.35,[[]],2023-11-18,,
350,1724297049307,b7d0dc33-c7dc-4f68-b21b-e6613463f000,b6ed8fc3-ee34-437a-8e1f-c6cfe11d7492,Accepted,1,0.1,0,"[""2023-08-21"",""2024-05-21""]",0,,2024-05-21,"International Club","International Club",023fcb82-deee-43c2-ad0e-6ad91a15d36c,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/9J5zkoxRYRf6Cths3yJ6lVF5N2w\/JyolDQ..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""pages"":[{""res"":""792x612""}]},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/9J5zkoxRYRf6Cths3yJ6lVF5N2w\/JyolDQ..\/1785878.pdf""}]",,124,0.1,[[]],2023-08-21,,
351,1724297548025,b7d0dc33-c7dc-4f68-b21b-e6613463f000,479e824b-31a0-49c0-b770-2b218c03e7e1,Accepted,1,2.31,0,"[""2023-08-21"",""2024-05-21""]",40,,2024-05-21,"Keystone Cafe","Keystone Cafe",47b644f2-0ed8-4cf3-8445-c7f2d9175359,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/nZF-P1E3eaMtB07ybjUlGTHwkKg\/B0lDsQ..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""pages"":[{""res"":""792x612""}]},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/nZF-P1E3eaMtB07ybjUlGTHwkKg\/B0lDsQ..\/1785878.pdf""}]",,124,2.31,[[]],2023-08-21,,
