id,created_at,student_id,group_id,i_logical,i_linguistic,i_spatial,i_kinesthetic,i_musical,i_naturalistic,i_interpersonal,i_intrapersonal,i_existential
7,1732895101411,a28611a4-0f7b-41d8-90e5-ccab5690a8dc,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,76,62,84,50,49,4,35,72,21
8,1732895200813,606909a7-3f71-489c-98c0-d4d326f55b4c,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,73,21,80,50,83,4,50,40,51
9,1732895307304,b3d40e2b-7182-471b-b185-8b9b839f87f9,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,69,57,76,20,60,4,55,46,51
10,1732900888350,f4b5aefc-71cd-44c8-9eb0-f0b7b35df2fd,d6a1d204-2c8d-4ccb-9ca0-4e67e2e768b5,69,57,66,45,49,4,45,33,66
11,1733357921936,47b644f2-0ed8-4cf3-8445-c7f2d9175359,fe85b2e8-9b9d-4835-8678-6eddc6d321cf,93,84,84,27,93,4,66,40,79
12,1733530051673,b75688c0-705d-4495-bc5c-34b5e28efb9b,fe85b2e8-9b9d-4835-8678-6eddc6d321cf,93,76,60,74,49,4,50,72,32
13,1733534676115,20f476ca-0c70-46b6-982e-179fbc382c69,fe85b2e8-9b9d-4835-8678-6eddc6d321cf,56,92,76,94,45,4,50,66,86
14,1733847685118,79f7938a-f5d9-40ac-b2cd-12066453bbd8,234268f1-0c6b-4652-9d80-27f5ec4a05e4,76,41,43,89,60,86,66,66,75
15,1733848689675,62586640-9291-413c-ae34-d082ae53d3af,234268f1-0c6b-4652-9d80-27f5ec4a05e4,89,80,66,50,11,83,84,11,89
18,1733849232156,ed120f1b-7d64-4772-a3e1-ff354449de85,234268f1-0c6b-4652-9d80-27f5ec4a05e4,43,35,66,50,64,83,50,53,51
19,1733849643489,8e6526ef-8fa3-46c9-9d72-47b949439e89,fe85b2e8-9b9d-4835-8678-6eddc6d321cf,27,35,43,36,24,4,21,33,42
20,1733849832782,023fcb82-deee-43c2-ad0e-6ad91a15d36c,fe85b2e8-9b9d-4835-8678-6eddc6d321cf,52,11,19,50,45,52,45,93,24
22,1733850416962,e7d71536-a4eb-4896-82d5-c465fd3e535f,f898a8f7-b6c2-4ec8-804c-80db8f518da2,31,14,3,12,5,4,5,17,56
23,1733850602626,f5969a27-76ee-47df-95f4-b9d8582d0b20,f898a8f7-b6c2-4ec8-804c-80db8f518da2,80,17,93,82,24,4,80,87,94
24,1733850733993,db57d37d-4092-4a19-a808-e03779c5a0ad,f898a8f7-b6c2-4ec8-804c-80db8f518da2,52,62,32,17,9,47,80,40,70
25,1733866024923,fd34ae5d-1307-4439-9fb1-b1749b9dcddb,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,0,0,0,0,0,0,0,0,0
26,1733866204312,c98daf3b-49e1-4772-a40f-19be80a8c4a2,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,0,0,0,0,0,0,0,0,0
27,1733866641092,f13226b9-3399-40a0-9fe0-a8500437e803,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,0,0,0,0,0,0,0,0,0
28,1733866842749,28a8047f-c394-4fe8-ab23-af00da03ffb5,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,0,0,0,0,0,0,0,0,0
29,1733866981286,abcb1f02-00d1-462f-a61e-4708864cbf1d,ca6b9328-0ff1-46ee-b236-c1c62ceeb50e,0,0,0,0,0,0,0,0,0
30,1734476674880,df3f61b0-8bd5-4c8c-a59a-d303aaba90d0,234268f1-0c6b-4652-9d80-27f5ec4a05e4,31,17,19,41,34,4,21,13,18
31,1734540380932,2d2bc8a6-8a89-4503-9ab7-e43a5e8dac7d,d6a1d204-2c8d-4ccb-9ca0-4e67e2e768b5,69,76,76,60,60,4,25,46,47
32,1734553730920,fd655275-4fcb-4a20-8917-2a11f3be74e8,d6a1d204-2c8d-4ccb-9ca0-4e67e2e768b5,39,87,80,69,53,4,21,72,70
34,1740766649265,fd70cb80-1277-4f82-8c2f-1b358682da88,08910f74-44d5-4cec-8864-dad6953bcb4d,35,62,66,45,30,4,66,33,66
37,1745355730491,,,0,0,0,0,0,0,0,0,0
38,1746498688507,b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,234268f1-0c6b-4652-9d80-27f5ec4a05e4,83,41,49,55,71,4,61,66,32
39,1746728021947,f623348f-0bc0-40c0-b069-437abb85ac3b,234268f1-0c6b-4652-9d80-27f5ec4a05e4,80,26,66,45,15,4,21,27,51
